           #Time            Temp             Kin       Potencial           E_tot        Pressure
  0.42163763E-01  0.29879725E+03  0.37265069E+01  0.87176979E+00  0.45982767E+01  0.20538599E+09
  0.42903478E-01  0.30235359E+03  0.37708604E+01  0.90151496E+00  0.46723754E+01  0.20538599E+09
  0.43643193E-01  0.29234336E+03  0.36460159E+01  0.90568160E+00  0.45516975E+01  0.20538599E+09
  0.44382908E-01  0.30079669E+03  0.37514432E+01  0.89803887E+00  0.46494821E+01  0.20538599E+09
  0.45122623E-01  0.30462770E+03  0.37992224E+01  0.89970132E+00  0.46989237E+01  0.20538599E+09
  0.45862338E-01  0.30449038E+03  0.37975098E+01  0.88778676E+00  0.46852966E+01  0.20538599E+09
  0.46602054E-01  0.29851233E+03  0.37229534E+01  0.89200558E+00  0.46149590E+01  0.20538599E+09
  0.47341769E-01  0.29895011E+03  0.37284132E+01  0.88525229E+00  0.46136655E+01  0.20538599E+09
  0.48081484E-01  0.30545431E+03  0.38095317E+01  0.90002362E+00  0.47095553E+01  0.20538599E+09
  0.48821199E-01  0.29838836E+03  0.37214073E+01  0.90820251E+00  0.46296098E+01  0.20538599E+09
  0.49560914E-01  0.29914928E+03  0.37308973E+01  0.87342814E+00  0.46043254E+01  0.20538599E+09
  0.50300629E-01  0.29807401E+03  0.37174868E+01  0.88631604E+00  0.46038028E+01  0.20538599E+09
  0.51040344E-01  0.30264570E+03  0.37745035E+01  0.89698705E+00  0.46714906E+01  0.20538599E+09
  0.51780059E-01  0.29820588E+03  0.37191315E+01  0.88786242E+00  0.46069939E+01  0.20538599E+09
  0.52519775E-01  0.30520790E+03  0.38064585E+01  0.89874110E+00  0.47051996E+01  0.20538599E+09
  0.53259490E-01  0.29601109E+03  0.36917587E+01  0.91617632E+00  0.46079351E+01  0.20538599E+09
  0.53999205E-01  0.30404474E+03  0.37919520E+01  0.92168004E+00  0.47136320E+01  0.20538599E+09
  0.54738920E-01  0.29901422E+03  0.37292129E+01  0.93682589E+00  0.46660388E+01  0.20538599E+09
  0.55478635E-01  0.30232750E+03  0.37705350E+01  0.90426327E+00  0.46747983E+01  0.20538599E+09
  0.56218350E-01  0.30173852E+03  0.37631895E+01  0.89159084E+00  0.46547803E+01  0.20538599E+09
  0.56958065E-01  0.30046991E+03  0.37473677E+01  0.91452070E+00  0.46618884E+01  0.20538599E+09
  0.57697781E-01  0.29943690E+03  0.37344844E+01  0.89637214E+00  0.46308565E+01  0.20538599E+09
  0.58437496E-01  0.29420144E+03  0.36691893E+01  0.90093408E+00  0.45701234E+01  0.20538599E+09
  0.59177211E-01  0.29344753E+03  0.36597868E+01  0.86735383E+00  0.45271406E+01  0.20538599E+09
  0.59916926E-01  0.30050719E+03  0.37478326E+01  0.89896634E+00  0.46467990E+01  0.20538599E+09
  0.60656641E-01  0.29721726E+03  0.37068017E+01  0.90288558E+00  0.46096873E+01  0.20538599E+09
  0.61396356E-01  0.29606149E+03  0.36923872E+01  0.87911055E+00  0.45714978E+01  0.20538599E+09
  0.62136071E-01  0.30549478E+03  0.38100364E+01  0.89248637E+00  0.47025228E+01  0.20538599E+09
  0.62875786E-01  0.29766602E+03  0.37123985E+01  0.91988609E+00  0.46322846E+01  0.20538599E+09
  0.63615502E-01  0.30265273E+03  0.37745912E+01  0.89142867E+00  0.46660199E+01  0.20538599E+09
  0.64355217E-01  0.29670829E+03  0.37004540E+01  0.87776759E+00  0.45782215E+01  0.20538599E+09
  0.65094932E-01  0.30712227E+03  0.38303339E+01  0.88089994E+00  0.47112338E+01  0.20538599E+09
  0.65834647E-01  0.30301490E+03  0.37791081E+01  0.90612111E+00  0.46852292E+01  0.20538599E+09
  0.66574362E-01  0.29972550E+03  0.37380837E+01  0.90356351E+00  0.46416472E+01  0.20538599E+09
  0.67314077E-01  0.30047040E+03  0.37473739E+01  0.90879699E+00  0.46561709E+01  0.20538599E+09
  0.68053792E-01  0.29905082E+03  0.37296693E+01  0.88502819E+00  0.46146975E+01  0.20538599E+09
  0.68793508E-01  0.30102623E+03  0.37543060E+01  0.89624392E+00  0.46505499E+01  0.20538599E+09
  0.69533223E-01  0.29843466E+03  0.37219848E+01  0.91862851E+00  0.46406133E+01  0.20538599E+09
  0.70272938E-01  0.30035227E+03  0.37459006E+01  0.90490582E+00  0.46508064E+01  0.20538599E+09
  0.71012653E-01  0.30229525E+03  0.37701328E+01  0.91840892E+00  0.46885417E+01  0.20538599E+09
  0.71752368E-01  0.29955201E+03  0.37359199E+01  0.89681103E+00  0.46327310E+01  0.20538599E+09
  0.72492083E-01  0.29646902E+03  0.36974698E+01  0.91159039E+00  0.46090602E+01  0.20538599E+09
  0.73231798E-01  0.31048192E+03  0.38722344E+01  0.90356237E+00  0.47757968E+01  0.20538599E+09
  0.73971514E-01  0.30518845E+03  0.38062159E+01  0.89168380E+00  0.46978997E+01  0.20538599E+09
  0.74711229E-01  0.29541616E+03  0.36843389E+01  0.90804272E+00  0.45923816E+01  0.20538599E+09
  0.75450944E-01  0.29577724E+03  0.36888422E+01  0.88024642E+00  0.45690886E+01  0.20538599E+09
  0.76190659E-01  0.30112382E+03  0.37555231E+01  0.88782213E+00  0.46433452E+01  0.20538599E+09
  0.76930374E-01  0.30115272E+03  0.37558836E+01  0.85506173E+00  0.46109453E+01  0.20538599E+09
  0.77670089E-01  0.29993648E+03  0.37407150E+01  0.85777137E+00  0.45984864E+01  0.20538599E+09
  0.78409804E-01  0.29728560E+03  0.37076540E+01  0.81618789E+00  0.45238419E+01  0.20538599E+09
  0.79149519E-01  0.30033579E+03  0.37456950E+01  0.83727810E+00  0.45829731E+01  0.20538599E+09
  0.79889235E-01  0.30477141E+03  0.38010148E+01  0.87047851E+00  0.46714933E+01  0.20538599E+09
  0.80628950E-01  0.30339519E+03  0.37838509E+01  0.87071483E+00  0.46545658E+01  0.20538599E+09
  0.81368665E-01  0.30704997E+03  0.38294322E+01  0.83147375E+00  0.46609060E+01  0.20538599E+09
  0.82108380E-01  0.29658498E+03  0.36989161E+01  0.83802032E+00  0.45369364E+01  0.20538599E+09
  0.82848095E-01  0.30054615E+03  0.37483185E+01  0.85422272E+00  0.46025413E+01  0.20538599E+09
  0.83587810E-01  0.29460930E+03  0.36742761E+01  0.88832797E+00  0.45626040E+01  0.20538599E+09
  0.84327525E-01  0.30217570E+03  0.37686419E+01  0.88347641E+00  0.46521183E+01  0.20538599E+09
  0.85067241E-01  0.30140897E+03  0.37590794E+01  0.86816803E+00  0.46272474E+01  0.20538599E+09
  0.85806956E-01  0.29752307E+03  0.37106156E+01  0.88292964E+00  0.45935453E+01  0.20538599E+09
  0.86546671E-01  0.30000912E+03  0.37416209E+01  0.85947833E+00  0.46010993E+01  0.20538599E+09
  0.87286386E-01  0.30235565E+03  0.37708861E+01  0.85882767E+00  0.46297138E+01  0.20538599E+09
  0.88026101E-01  0.29844584E+03  0.37221242E+01  0.89981820E+00  0.46219424E+01  0.20538599E+09
  0.88765816E-01  0.30634167E+03  0.38205985E+01  0.86942052E+00  0.46900191E+01  0.20538599E+09
  0.89505531E-01  0.29573670E+03  0.36883366E+01  0.88969468E+00  0.45780313E+01  0.20538599E+09
  0.90245246E-01  0.29805870E+03  0.37172958E+01  0.88718802E+00  0.46044838E+01  0.20538599E+09
  0.90984962E-01  0.30213797E+03  0.37681713E+01  0.91633480E+00  0.46845061E+01  0.20538599E+09
  0.91724677E-01  0.29040727E+03  0.36218696E+01  0.91509241E+00  0.45369620E+01  0.20538599E+09
  0.92464392E-01  0.29161639E+03  0.36369494E+01  0.89631468E+00  0.45332641E+01  0.20538599E+09
  0.93204107E-01  0.29354591E+03  0.36610138E+01  0.86861456E+00  0.45296283E+01  0.20538599E+09
  0.93943822E-01  0.29869537E+03  0.37252363E+01  0.83500212E+00  0.45602384E+01  0.20538599E+09
  0.94683537E-01  0.29522043E+03  0.36818979E+01  0.85478843E+00  0.45366863E+01  0.20538599E+09
  0.95423252E-01  0.30169742E+03  0.37626769E+01  0.86460732E+00  0.46272842E+01  0.20538599E+09
  0.96162968E-01  0.30716223E+03  0.38308323E+01  0.88366017E+00  0.47144925E+01  0.20538599E+09
  0.96902683E-01  0.30037213E+03  0.37461483E+01  0.89400684E+00  0.46401551E+01  0.20538599E+09
  0.97642398E-01  0.30502213E+03  0.38041416E+01  0.85267034E+00  0.46568119E+01  0.20538599E+09
  0.98382113E-01  0.29791214E+03  0.37154680E+01  0.86574418E+00  0.45812122E+01  0.20538599E+09
  0.99121828E-01  0.30646339E+03  0.38221166E+01  0.83864457E+00  0.46607611E+01  0.20538599E+09
  0.99861543E-01  0.30377469E+03  0.37885839E+01  0.82361999E+00  0.46122039E+01  0.20538599E+09
  0.10060126E+00  0.29367357E+03  0.36626059E+01  0.89321800E+00  0.45558239E+01  0.20538599E+09
  0.10134097E+00  0.29772221E+03  0.37130993E+01  0.83482893E+00  0.45479282E+01  0.20538599E+09
  0.10208069E+00  0.30018601E+03  0.37438270E+01  0.85000505E+00  0.45938320E+01  0.20538599E+09
  0.10282040E+00  0.30058975E+03  0.37488623E+01  0.86863365E+00  0.46174960E+01  0.20538599E+09
  0.10356012E+00  0.30931173E+03  0.38576401E+01  0.87757667E+00  0.47352168E+01  0.20538599E+09
