 # Time         Temp      Kin     Potencial       E_tot        Pressure
   0.0000000000000000        304.30076265436747        3.7951449444207608       0.84174480226552040        4.6368897466862817        630252006.43047023     
   7.3971513515464502E-004   298.98894036997109        3.7288975406599438       0.79975703472873882        4.5286545753886829        618060325.56428897     
   1.4794302703092900E-003   285.77836654913460        3.5641393520451139       0.97983131767873466        4.5439706697238487        683401516.57979035     
   2.2191454054639351E-003   321.92014529622827        4.0148884323232990       0.85495155871550010        4.8698399910387984        640454265.21390724     
   2.9588605406185801E-003   301.73280357954445        3.7631181535074449       0.86482957014706474        4.6279477236545095        644337195.72560716     
   3.6985756757732251E-003   272.46801995965967        3.3981368283350122       0.76550279932209486        4.1636396276571075        606521555.56808960     
   4.4382908109278701E-003   311.41339056263843        3.8838514386541663       0.73102173744738297        4.6148731761015487        593774804.67526937     
   5.1780059460825156E-003   296.27316849297978        3.6950272742194019       0.76693813029050395        4.4619654045099058        606021661.71704388     
   5.9177210812371601E-003   280.96034092566799        3.5040504274315474       0.82762183024566649        4.3316722576772140        627950276.43724573     
   6.6574362163918056E-003   286.60652276451481        3.5744678600862221       0.99388115173829661        4.5683490118245187        684871470.80301452     
   7.3971513515464502E-003   298.25863606805058        3.7197894114027372       0.83037168772552694        4.5501610991282648        630345621.39398170     
   8.1368664867010956E-003   298.71559468474146        3.7254884578619594       0.89208276406122367        4.6175712219231837        651037111.50963509     
   8.8765816218557402E-003   325.87047415647714        4.0641557114191489       0.97811621335140364        5.0422719247705530        679798567.24938381     
   9.6162967570103848E-003   312.39788992368938        3.8961298100269048       0.79253859676785410        4.6886684067947586        616672205.88154006     
   1.0356011892165031E-002   307.93450789344246        3.8404638905617281        1.0521259652323443        4.8925898557940721        707780186.13881600     
   1.1095727027319676E-002   314.05989738996760        3.9168578528297417       0.75185946312848284        4.6687173159582240        600961122.46621573     
   1.1835442162474320E-002   305.12149331167882        3.8053808431995106       0.76020613618961930        4.5655869793891295        603162107.43160605     
   1.2575157297628965E-002   298.29265106106226        3.7202136358694688       0.64194688288148893        4.3621605187509571        561403927.13769066     
   1.3314872432783611E-002   310.65630641250374        3.8744093194171918       0.79705395514527333        4.6714632745624645        616678549.73123264     
   1.4054587567938256E-002   308.23910968506732        3.8442627898463138       0.73824711495501183        4.5825099048013254        593956851.59589779     
   1.4794302703092900E-002   283.85119681157960        3.5401042874507151       0.75810086118408082        4.2982051486347954        601029646.86347032     
   1.5534017838247545E-002   303.03698349046982        3.7793834817714607       0.73600549531542947        4.5153889770868902        593218827.70569777     
   1.6273732973402191E-002   309.20010451391568        3.8562480199670186       0.66551525473615414        4.5217632747031722        567350289.18103814     
   1.7013448108556834E-002   274.16036929922632        3.4192432855920547       0.87544197834381965        4.2946852639358744        641912991.06555152     
   1.7753163243711480E-002   287.79127161620755        3.5892436811380311       0.81541270187318304        4.4046563830112140        623603394.70907784     
   1.8492878378866123E-002   303.55512536304286        3.7858455868645775       0.82274606628622882        4.6085916531508069        625183640.95176601     
   1.9232593514020770E-002   305.70698001997545        3.8126828522435732       0.73470040015599714        4.5473832523995705        596380971.03348935     
   1.9972308649175416E-002   309.28743562194740        3.8573371865213377       0.66327998265296861        4.5206171691743071        569755076.13616407     
   2.0712023784330062E-002   309.95172735255937        3.8656220274171069       0.68999147091074331        4.5556134983278502        578299171.37733841     
   2.1451738919484705E-002   326.40005859395052        4.0707605246407441       0.68605470754349596        4.7568152321842403        577263116.56966305     
   2.2191454054639351E-002   294.30386255799749        3.6704667000099480       0.75950855466442135        4.4299752546743694        602965504.56437838     
   2.2931169189793998E-002   310.99009846265204        3.8785722705730095       0.68705975785165541        4.5656320284246652        575561300.96741760     
   2.3670884324948641E-002   286.68519078030147        3.5754489832348986       0.79315410797918051        4.3686030912140792        613814900.92468905     
   2.4410599460103287E-002   315.11660800587663        3.9300368206269334       0.68808887937294205        4.6181256999998759        575853684.94880033     
   2.5150314595257930E-002   298.40805373875872        3.7216529023537586       0.81188438839807708        4.5335372907518359        621312638.59743977     
   2.5890029730412576E-002   287.70521151357133        3.5881703661696847       0.77783939403472457        4.3660097602044097        606895741.65951431     
   2.6629744865567222E-002   315.15533689379640        3.9305198353322193       0.78193729046524685        4.7124571257974663        608193184.00989699     
   2.7369460000721865E-002   285.07002834408428        3.5553051771505531       0.73459451516719321        4.2898996923177464        592925299.63840008     
   2.8109175135876512E-002   309.90822660535764        3.8650794995595330       0.62536301740644440        4.4904425169659774        556177561.01313138     
   2.8848890271031154E-002   291.87061943231669        3.6401200447258049       0.84224369779766983        4.4823637425234750        631448557.53998923     
   2.9588605406185801E-002   314.74257087039064        3.9253719452208284       0.86900296898437945        4.7943749142052079        640526294.83299184     
   3.0328320541340447E-002   305.81492090773321        3.8140290575928359       0.77924496729367576        4.5932740248865125        609002028.41784358     
   3.1068035676495090E-002   270.07465934067608        3.3682875753325532       0.85978599489342422        4.2280735702259777        638195263.14920878     
   3.1807750811649736E-002   306.92115506401888        3.8278256676602966       0.77157846138260100        4.5994041290428971        608501823.71032727     
   3.2547465946804383E-002   305.77588861846721        3.8135422589598500       0.84248044900245878        4.6560227079623093        634829539.30535281     
   3.3287181081959022E-002   311.90022836279945        3.8899231290433645        1.0036436933507102        4.8935668223940745        691922507.76582742     
   3.4026896217113668E-002   283.53204681960869        3.5361239475134272       0.77499863913518907        4.3111225866486160        611096010.90855312     
   3.4766611352268315E-002   304.58761458157494        3.7987224728891178       0.73832669503740112        4.5370491679265186        596765473.76409960     
